# Recommended toolchain — what to install, by kind of hunting and kind of target.
#
# Generated by tools/export/build_public_catalog.py. Do not hand-edit.
#
# This is a recommendation, not an inventory. It deliberately carries no
# liveness, lane, evidence or notes column: whether a tool works on OUR
# machine is not a fact about YOUR machine, and a capability is only proven
# by a real invocation returning a real result on real target code.
#
# hunting_type is the technique class a tool serves. Coverage is the thing
# worth measuring: an unused applicable technique class is a gap, and a
# technique that was never run cannot support a claim that nothing is there.
# See tools/coverage-ledger/ for the vocabulary and the evidence signatures.
name	kind	purpose	hunting_type	target_class
binary-re-pipeline	skill	hunting	bytecode-census	native
binwalk	tool	hunting	bytecode-census	native
cast selectors	tool	hunting	bytecode-census	evm
ghidra	tool	hunting	bytecode-census	native
radare2	tool	hunting	bytecode-census	native
cast	tool	hunting	bytecode-census,deployed-state	evm
standing-check:storage-slot-alignment	tool	hunting	bytecode-census,deployed-state	evm
anchor	tool	hunting	concrete-harness	svm
chisel	tool	hunting	concrete-harness	evm
curl	tool	hunting	concrete-harness	web
gdb	tool	hunting	concrete-harness	native
hardhat	tool	hunting	concrete-harness	evm
interactsh-client	tool	hunting	concrete-harness	web
litesvm	tool	hunting	concrete-harness	svm
pwntools	tool	hunting	concrete-harness	native
pwntools-exploit-authoring	skill	hunting	concrete-harness	native
qemu	tool	hunting	concrete-harness	native
sqlmap	tool	hunting	concrete-harness,deployed-state	web
forge	tool	hunting	concrete-harness,property-fuzzing	evm
cargo-fuzz	tool	hunting	coverage-guided-fuzzing	rust,svm
fzgen	tool	hunting	coverage-guided-fuzzing	cosmos-go
libfuzzer	tool	hunting	coverage-guided-fuzzing	native,rust
chrome-devtools	tool	hunting	deployed-state	web
ffuf	tool	hunting	deployed-state	web
gowitness	tool	hunting	deployed-state	web
httpx	tool	hunting	deployed-state	web
katana	tool	hunting	deployed-state	web
mitmproxy	tool	hunting	deployed-state	web
naabu	tool	hunting	deployed-state	web
nmap	tool	hunting	deployed-state	web
playwright	tool	hunting	deployed-state	web
solana	tool	hunting	deployed-state	svm
anvil	tool	hunting	deployed-state,concrete-harness	evm
chrono-mutation-campaign	skill	hunting	differential-variant	any
differential-review	skill	hunting	differential-variant	any
gremlins	tool	hunting	differential-variant	cosmos-go
parser-differential-route-confusion	skill	hunting	differential-variant	web
variant-analysis	skill	hunting	differential-variant	any
known-advisory-backport-check	skill	hunting	differential-variant,supply-chain	any
chain-construct	skill	hunting	economic-composition	any
chain-impact-rescore	skill	hunting	economic-composition	any
chain-construct-smart-contract	skill	hunting	economic-composition,concrete-harness	evm,svm
chrono-property-based-strategy	skill	hunting	property-fuzzing	any
defi-invariant-check	skill	hunting	property-fuzzing	evm
echidna	tool	hunting	property-fuzzing	evm
medusa	tool	hunting	property-fuzzing	evm
property-based-fuzz-harness	skill	hunting	property-fuzzing	any
trident	tool	hunting	property-fuzzing	svm
tss-bridge-fuzz	tool	hunting	property-fuzzing	svm
fuzzing-campaign-flow	skill	hunting	property-fuzzing,coverage-guided-fuzzing	any
agentic-safety-audit	skill	hunting	source-review	any
agentic-sandbox-escape	skill	hunting	source-review	any
api-surface-mapper	skill	hunting	source-review	any
attack-coverage-map	skill	hunting	source-review	any
audit-context-prep	skill	hunting	source-review	any
callgraph	tool	hunting	source-review	cosmos-go
cosmos-sdk-audit-checklist	skill	hunting	source-review	cosmos-go
cross-chain-dvn-audit	skill	hunting	source-review	evm
cross-file-relationship-synthesis	skill	hunting	source-review	any
data-flow-trace	skill	hunting	source-review	any
deadcode	tool	hunting	source-review	cosmos-go
dimensional-analysis-check	skill	hunting	source-review	any
durable-nonce-exploitation	skill	hunting	source-review	svm
erc1271-revert-data-check	skill	hunting	source-review	evm
error-based-ssti	skill	hunting	source-review	web
layered-analysis-loop	skill	hunting	source-review	any
pre-audit-threat-model	skill	hunting	source-review	any
read-only-reentrancy-check	skill	hunting	source-review	evm
security-ownership-map	skill	hunting	source-review	any
security-threat-model	skill	hunting	source-review	any
signature-validation-audit	skill	hunting	source-review	evm
solana-anchor-audit-checklist	skill	hunting	source-review	svm
systematic-bug-hunting	skill	hunting	source-review	any
threat-model-loop	skill	hunting	source-review	any
uniswap-v4-hook-access-control	skill	hunting	source-review	evm
vulnhunter-solana	skill	hunting	source-review	svm
cross-chain-bridge-audit	skill	hunting	source-review,economic-composition	evm
systematic-attacking	skill	hunting	source-review,economic-composition	any
solana-audit-flow	skill	hunting	source-review,property-fuzzing,coverage-guided-fuzzing,concrete-harness	svm
gptscan-prompt-templates	skill	hunting	source-review,static-pattern-scan	evm
evm-audit-flow	skill	hunting	source-review,static-pattern-scan,symbolic-execution,property-fuzzing	evm
aderyn	tool	hunting	static-pattern-scan	evm
auditware-radar	tool	hunting	static-pattern-scan	svm
bandit	tool	hunting	static-pattern-scan	web
brakeman	tool	hunting	static-pattern-scan	web
diff-aware-semgrep-scan	skill	hunting	static-pattern-scan	any
errcheck	tool	hunting	static-pattern-scan	cosmos-go
eslint-security	tool	hunting	static-pattern-scan	web
github_leaked_secrets_tool	tool	hunting	static-pattern-scan	any
gitleaks	tool	hunting	static-pattern-scan	any
golangci-lint	tool	hunting	static-pattern-scan	cosmos-go
gosec	tool	hunting	static-pattern-scan	cosmos-go
guarded-semgrep	tool	hunting	static-pattern-scan	any
guarded-slither	tool	hunting	static-pattern-scan	evm
nilaway	tool	hunting	static-pattern-scan	cosmos-go
semgrep	tool	hunting	static-pattern-scan	any
semgrep-rule-author	skill	hunting	static-pattern-scan	any
slither	tool	hunting	static-pattern-scan	evm
standing-check:proof-verifier-bounds	tool	hunting	static-pattern-scan	evm,rust
staticcheck	tool	hunting	static-pattern-scan	cosmos-go
trufflehog	tool	hunting	static-pattern-scan	any
nikto	tool	hunting	static-pattern-scan,deployed-state	web
nuclei	tool	hunting	static-pattern-scan,deployed-state	web
nuclei-scan	skill	hunting	static-pattern-scan,deployed-state	web
codeql	tool	hunting	static-pattern-scan,differential-variant	any
cargo-audit	tool	hunting	supply-chain	rust
dependency-health-triage	skill	hunting	supply-chain	any
grype	tool	hunting	supply-chain	any
osv-scanner	tool	hunting	supply-chain	any
snyk	tool	hunting	supply-chain	any
supply-chain-audit	skill	hunting	supply-chain	any
trivy	tool	hunting	supply-chain	any
cargo-geiger	tool	hunting	supply-chain,static-pattern-scan	rust
angr	tool	hunting	symbolic-execution	native
halmos	tool	hunting	symbolic-execution	evm
manticore	tool	hunting	symbolic-execution	evm,native
myth	tool	hunting	symbolic-execution	evm
cvss-v4-gate	skill	hunting	—	any
evidence-chain-preservation	skill	hunting	—	any
findings-filter	skill	hunting	—	any
multi-agent-evidence-gating	skill	hunting	—	any
scope-gate	skill	hunting	—	any
self-inflicted-detector	skill	hunting	—	any
Apify	tool	research	—	—
Brave Search	tool	research	—	—
Google Search grounding	tool	research	—	—
Grok-X integration	tool	research	—	—
NotebookLM	tool	research	—	—
Perplexity API	tool	research	—	—
Perplexity Sonar structured+recency	tool	research	—	—
Serper	tool	research	—	—
Twitter API v2	tool	research	—	—
WebFetch	tool	research	—	—
amass	tool	research	—	—
arxiv_search	tool	research	—	—
async-scraper-pipeline	skill	research	—	—
beautifulsoup	tool	research	—	—
binary-doc-to-markdown	skill	research	—	—
bot-evasion-loop	skill	research	—	—
browser-scrape-pipeline	skill	research	—	—
chrono-dedup	tool	research	—	—
chrono-recon	tool	research	—	—
chrono-research-arsenal	tool	research	—	—
citation-audit	skill	research	—	—
cite-properly	skill	research	—	—
claim-validation-gate	skill	research	—	—
claim-verification	skill	research	—	—
codex --search	tool	research	—	—
context7	tool	research	—	—
crt_sh_certificates_tool	tool	research	—	—
data-cleaning-pipeline	skill	research	—	—
data-normalization	skill	research	—	—
dedup-prior-art-check	skill	research	—	—
dns_enumerate_tool	tool	research	—	—
dnsx	tool	research	—	—
dual-level-retrieval	skill	research	—	—
evidence-level	skill	research	—	—
find-sources	skill	research	—	—
firecrawl	tool	research	—	—
firecrawl_crawl	tool	research	—	—
firecrawl_parse	tool	research	—	—
firecrawl_scrape	tool	research	—	—
gau	tool	research	—	—
github-recon	skill	research	—	—
guarded-solodit	tool	research	—	—
knowledge-base-integration	skill	research	—	—
lead:chrono-dedup	tool	research	—	—
lxml	tool	research	—	—
nvd-osv-calibration	skill	research	—	—
openai-docs	skill	research	—	—
osint-platform-audit	skill	research	—	—
pdfplumber	tool	research	—	—
perplexity_search	tool	research	—	—
playwright-stealth-config	skill	research	—	—
preserve-outliers	skill	research	—	—
prior_art_check	tool	research	—	—
program-fit-check	skill	research	—	—
program-intel-query	skill	research	—	—
program-rubric-lookup	skill	research	—	—
pymupdf	tool	research	—	—
rate-limit-respect	skill	research	—	—
recon-chain-orchestrator	skill	research	—	—
research-integrity-gate	skill	research	—	—
rule8-truth-gate	skill	research	—	—
schema-inference	skill	research	—	—
scrape-state-persistence	skill	research	—	—
source-triangulation	skill	research	—	—
subfinder	tool	research	—	—
summarize-findings	skill	research	—	—
tos-compliance-check	skill	research	—	—
wayback_snapshots_tool	tool	research	—	—
waybackurls	tool	research	—	—
whois_lookup_tool	tool	research	—	—
xAI API	tool	research	—	—
xai_search	tool	research	—	—
zotero	tool	research	—	—
